,Position,Track Name,Streams,date
121,121,Berharap Tak Berpisah,211997,2019-07-05
74,74,Berharap Tak Berpisah,286733,2019-07-12
95,95,Berharap Tak Berpisah,245177,2019-07-19
107,107,Berharap Tak Berpisah,233958,2019-07-26
112,112,Berharap Tak Berpisah,240201,2019-08-02
121,121,Berharap Tak Berpisah,223541,2019-08-09
128,128,Berharap Tak Berpisah,216446,2019-08-16
102,102,Berharap Tak Berpisah,247188,2019-08-23
102,102,Berharap Tak Berpisah,254747,2019-08-30
104,104,Berharap Tak Berpisah,270577,2019-09-06
101,101,Berharap Tak Berpisah,282725,2019-09-13
103,103,Berharap Tak Berpisah,273114,2019-09-20
112,112,Berharap Tak Berpisah,256458,2019-09-27
111,111,Berharap Tak Berpisah,275831,2019-10-04
106,106,Berharap Tak Berpisah,279645,2019-10-11
70,70,Berharap Tak Berpisah,356530,2019-10-18
35,35,Berharap Tak Berpisah,586841,2019-10-25
37,37,Berharap Tak Berpisah,595077,2019-11-01
40,40,Berharap Tak Berpisah,560468,2019-11-08
46,46,Berharap Tak Berpisah,521425,2019-11-15
52,52,Berharap Tak Berpisah,501505,2019-11-22
50,50,Berharap Tak Berpisah,510937,2019-11-29
56,56,Berharap Tak Berpisah,471882,2019-12-06
